generation,average life time
0,477.5069871436557
1,491.3983618763961
2,499.08971858456397
3,504.2240052758848
4,506.9776515845393
5,509.66366319714155
6,509.920819112628
7,511.37896634615385
8,514.5158053727479
9,514.8977751641675
10,513.9761670101245
11,514.9112249958671
12,516.0642237074595
13,516.3157932468278
14,516.1861684252974
15,516.0734090476493
16,516.5148681055156
17,516.6336537914557
18,516.9472521551725
19,515.8492418401439
20,515.9062837506136
21,515.7881856540084
22,516.2700713548445
23,516.4283013192386
24,516.5996276375672
25,516.8053202910653
26,516.6294207901802
27,517.0531682177153
28,516.7218642611684
29,516.1093988086992
30,515.9515567458989
31,516.0500955899031
32,516.4419314249764
33,516.394628288569
