generation,average life time
0,466.9220994475138
1,483.5999263894001
2,490.904552934723
3,495.1759299781182
4,499.55974049378267
5,501.2866584691054
6,504.5059475533928
7,507.17613158842596
8,507.53816216216217
9,508.4156097560976
10,508.55881563646125
11,509.0043689720551
12,509.7248234571692
13,510.4334312110578
14,509.88306342780027
15,509.30676987500794
16,508.3733581239129
17,507.3991435912075
18,507.46268009966417
19,507.34172123962253
20,506.8765146291006
21,506.987507071469
22,506.25675308194343
23,506.55649080180496
24,506.57451340740124
25,506.4811525478219
26,506.601927841437
27,506.75356263523094
28,507.2832084714018
29,507.7450283843555
30,508.01317785042636
31,508.13480279939824
