generation,average life time,peso food,peso poison,raio food,raio poison
0,475.9280258519389,0,0,0,0
1,477.6285553365249,0,0,0,0
2,484.8854111405835,0,0,0,0
3,492.0052950075643,0,0,0,0
4,496.57620996869736,0,0,0,0
5,501.60704419889504,0,0,0,0
6,505.91212188121,0,0,0,0
7,509.25085106382977,0,0,0,0
8,512.429358922009,0,0,0,0
9,516.1645743428795,0,0,0,0
10,518.7809200603318,0,0,0,0
11,521.7660893345487,0,0,0,0
12,523.8294190358467,0,0,0,0
13,525.9292549555707,0,0,0,0
14,528.6995204233505,0,0,0,0
15,530.8143520743232,0,0,0,0
16,532.5378138156868,0,0,0,0
17,533.984696969697,0,0,0,0
18,536.5468406392025,0,0,0,0
19,538.6347416500142,0,0,0,0
20,540.4230394205321,0,0,0,0
21,542.806984298863,0,0,0,0
22,544.0030379078061,0,0,0,0
23,545.8715738000258,0,0,0,0
24,547.9307962823411,0,0,0,0
25,549.6452165402495,0,0,0,0
26,550.8268310196266,0,0,0,0
27,551.8019929660023,0,0,0,0
28,552.3249309392265,0,0,0,0
29,552.6592860370538,0,0,0,0
30,553.6767867036011,0,0,0,0
31,554.699479053614,0,0,0,0
32,555.6618414050026,0,0,0,0
33,555.7381027089217,0,0,0,0
34,556.399323007488,0,0,0,0
35,557.2517123287671,0,0,0,0
36,558.0648339737905,0,0,0,0
37,559.1998066698889,0,0,0,0
38,559.8248313859599,0,0,0,0
39,560.620657452372,0,0,0,0
40,561.4053633534688,0,0,0,0
41,562.329019502112,0,0,0,0
42,562.9053134117231,0,0,0,0
43,563.836433165305,0,0,0,0
44,564.4486389316897,0,0,0,0
45,564.8622552329507,0,0,0,0
46,565.2416833000665,0,0,0,0
47,566.1591540094724,0,0,0,0
48,566.9524959742351,0,0,0,0
49,567.2828900357284,0,0,0,0
50,567.9693270735524,0,0,0,0
51,568.5662919618109,0,0,0,0
52,569.3979359538625,0,0,0,0
53,570.3502917851264,0,0,0,0
54,570.4218114602588,0,0,0,0
55,570.7275783933923,0,0,0,0
56,571.1314611608432,0,0,0,0
57,572.0849896701575,0,0,0,0
58,572.4894962411298,0,0,0,0
59,572.9679656080988,0,0,0,0
60,573.4700075409611,0,0,0,0
61,573.9278901440845,0,0,0,0
62,574.4781650641025,0,0,0,0
63,574.7128313611423,0,0,0,0
64,575.1171936242488,0,0,0,0
65,575.4667914542051,0,0,0,0
66,575.9104287443461,0,0,0,0
67,576.0653800213743,0,0,0,0
68,576.3471094863374,0,0,0,0
69,576.8964506078563,0,0,0,0
70,576.8995957279913,0,0,0,0
71,577.1859701492538,0,0,0,0
72,577.4705396150667,0,0,0,0
73,577.4818558990241,0,0,0,0
74,577.5540829909138,0,0,0,0
75,577.96343556878,0,0,0,0
76,578.1672505367839,0,0,0,0
77,578.5192468853008,0,0,0,0
78,578.8583356372685,0,0,0,0
79,579.0909737807215,0,0,0,0
80,579.391619748809,0,0,0,0
81,579.5888936489237,0,0,0,0
